2795.09-0	2685.83-1	2761.78-2	2731.2-3	2768.51-4	2768.27-5	2730.11-6	2708.36-7	2713.3-8	2791.04-9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
280.0	2.0	2.0	2.0	4.0	2.0	2.0	5.0	5.0	2.0
3.0	242.0	280.0	242.0	277.0	242.0	242.0	6.0	6.0	280.0
279.0	243.0	3.0	243.0	5.0	243.0	243.0	7.0	7.0	3.0
278.0	241.0	279.0	241.0	6.0	241.0	244.0	9.0	8.0	279.0
248.0	240.0	278.0	244.0	7.0	244.0	241.0	8.0	9.0	278.0
249.0	239.0	248.0	245.0	8.0	247.0	240.0	10.0	10.0	248.0
256.0	238.0	249.0	240.0	10.0	250.0	245.0	11.0	11.0	243.0
258.0	237.0	250.0	239.0	9.0	251.0	246.0	12.0	12.0	242.0
259.0	236.0	251.0	246.0	276.0	230.0	239.0	13.0	13.0	241.0
260.0	235.0	230.0	231.0	275.0	229.0	238.0	15.0	15.0	244.0
261.0	234.0	229.0	238.0	274.0	228.0	237.0	14.0	14.0	247.0
262.0	233.0	228.0	237.0	273.0	233.0	236.0	24.0	24.0	245.0
263.0	232.0	233.0	232.0	272.0	232.0	235.0	23.0	23.0	240.0
257.0	231.0	232.0	233.0	271.0	231.0	234.0	25.0	25.0	239.0
254.0	246.0	231.0	236.0	16.0	246.0	233.0	22.0	22.0	246.0
255.0	245.0	246.0	235.0	15.0	245.0	232.0	26.0	26.0	231.0
252.0	244.0	245.0	234.0	11.0	240.0	231.0	27.0	27.0	238.0
253.0	247.0	247.0	226.0	12.0	239.0	230.0	28.0	28.0	237.0
208.0	248.0	244.0	225.0	13.0	238.0	229.0	29.0	29.0	236.0
209.0	249.0	243.0	224.0	14.0	237.0	228.0	31.0	31.0	235.0
210.0	250.0	242.0	223.0	24.0	236.0	227.0	32.0	32.0	234.0
211.0	251.0	241.0	222.0	23.0	235.0	226.0	33.0	33.0	233.0
212.0	230.0	240.0	221.0	25.0	234.0	225.0	34.0	36.0	232.0
207.0	229.0	239.0	220.0	22.0	227.0	224.0	35.0	37.0	228.0
206.0	228.0	238.0	219.0	26.0	226.0	223.0	36.0	38.0	227.0
205.0	227.0	237.0	218.0	27.0	225.0	222.0	37.0	49.0	226.0
204.0	226.0	236.0	217.0	28.0	224.0	221.0	38.0	50.0	225.0
144.0	225.0	235.0	216.0	29.0	223.0	220.0	39.0	51.0	224.0
145.0	224.0	234.0	215.0	126.0	219.0	219.0	48.0	52.0	223.0
199.0	223.0	227.0	227.0	127.0	222.0	218.0	49.0	53.0	222.0
198.0	219.0	226.0	228.0	128.0	221.0	217.0	50.0	48.0	221.0
197.0	222.0	225.0	229.0	21.0	220.0	216.0	51.0	47.0	220.0
193.0	221.0	224.0	230.0	20.0	217.0	215.0	52.0	54.0	219.0
186.0	220.0	223.0	251.0	19.0	218.0	214.0	53.0	55.0	218.0
187.0	217.0	222.0	250.0	18.0	215.0	213.0	54.0	46.0	217.0
185.0	218.0	221.0	247.0	17.0	216.0	212.0	55.0	45.0	216.0
184.0	215.0	220.0	248.0	133.0	213.0	211.0	56.0	56.0	215.0
183.0	216.0	219.0	249.0	132.0	214.0	210.0	57.0	57.0	214.0
182.0	213.0	218.0	256.0	131.0	211.0	209.0	58.0	58.0	213.0
181.0	214.0	217.0	258.0	130.0	212.0	252.0	59.0	68.0	212.0
176.0	211.0	216.0	257.0	129.0	207.0	255.0	44.0	69.0	207.0
180.0	210.0	215.0	254.0	154.0	210.0	251.0	45.0	67.0	206.0
179.0	207.0	214.0	255.0	155.0	209.0	250.0	46.0	70.0	208.0
150.0	212.0	213.0	252.0	153.0	208.0	247.0	47.0	71.0	209.0
149.0	204.0	212.0	253.0	156.0	206.0	248.0	40.0	72.0	210.0
148.0	205.0	211.0	208.0	152.0	205.0	249.0	41.0	73.0	211.0
147.0	206.0	210.0	209.0	157.0	204.0	256.0	42.0	74.0	229.0
146.0	208.0	207.0	210.0	119.0	203.0	258.0	43.0	75.0	230.0
143.0	209.0	206.0	211.0	120.0	202.0	259.0	60.0	76.0	251.0
142.0	252.0	208.0	214.0	121.0	200.0	261.0	61.0	77.0	250.0
141.0	253.0	209.0	213.0	122.0	201.0	260.0	118.0	78.0	249.0
140.0	254.0	252.0	212.0	123.0	198.0	276.0	62.0	79.0	256.0
139.0	255.0	253.0	207.0	124.0	199.0	275.0	63.0	80.0	255.0
138.0	256.0	254.0	206.0	125.0	145.0	274.0	64.0	81.0	252.0
137.0	257.0	255.0	205.0	30.0	144.0	273.0	65.0	82.0	253.0
267.0	258.0	256.0	204.0	31.0	143.0	272.0	66.0	89.0	254.0
266.0	259.0	257.0	203.0	32.0	146.0	271.0	67.0	109.0	257.0
265.0	260.0	258.0	202.0	33.0	147.0	16.0	68.0	90.0	258.0
264.0	261.0	259.0	200.0	34.0	142.0	17.0	69.0	91.0	259.0
268.0	262.0	260.0	201.0	36.0	141.0	18.0	70.0	92.0	260.0
136.0	263.0	261.0	198.0	35.0	140.0	133.0	71.0	93.0	261.0
135.0	264.0	262.0	197.0	39.0	148.0	134.0	72.0	94.0	262.0
269.0	265.0	263.0	196.0	38.0	149.0	270.0	73.0	95.0	263.0
270.0	267.0	264.0	195.0	37.0	139.0	135.0	74.0	96.0	264.0
134.0	268.0	265.0	194.0	50.0	138.0	269.0	76.0	97.0	265.0
133.0	269.0	205.0	193.0	51.0	137.0	268.0	75.0	98.0	205.0
132.0	270.0	204.0	192.0	52.0	267.0	136.0	77.0	99.0	204.0
19.0	134.0	203.0	191.0	49.0	266.0	137.0	78.0	100.0	203.0
18.0	135.0	202.0	190.0	48.0	265.0	267.0	79.0	101.0	202.0
17.0	136.0	201.0	189.0	53.0	264.0	138.0	80.0	102.0	201.0
16.0	137.0	200.0	188.0	54.0	263.0	139.0	90.0	103.0	200.0
271.0	138.0	144.0	187.0	55.0	268.0	140.0	109.0	104.0	144.0
272.0	266.0	143.0	186.0	46.0	136.0	266.0	89.0	105.0	145.0
273.0	140.0	142.0	185.0	47.0	135.0	265.0	81.0	108.0	199.0
274.0	141.0	141.0	184.0	40.0	269.0	264.0	82.0	110.0	198.0
275.0	142.0	140.0	183.0	41.0	270.0	263.0	83.0	111.0	197.0
276.0	143.0	266.0	182.0	42.0	134.0	262.0	88.0	112.0	196.0
277.0	144.0	138.0	161.0	43.0	133.0	257.0	112.0	88.0	195.0
4.0	203.0	137.0	162.0	60.0	17.0	254.0	113.0	83.0	194.0
5.0	202.0	267.0	163.0	44.0	18.0	253.0	87.0	84.0	193.0
6.0	200.0	268.0	164.0	45.0	19.0	208.0	84.0	87.0	192.0
7.0	201.0	136.0	165.0	56.0	132.0	207.0	85.0	113.0	191.0
8.0	196.0	135.0	166.0	57.0	131.0	206.0	86.0	114.0	190.0
9.0	195.0	269.0	167.0	58.0	20.0	205.0	116.0	115.0	186.0
10.0	194.0	270.0	168.0	59.0	21.0	204.0	117.0	117.0	187.0
11.0	192.0	134.0	172.0	64.0	130.0	203.0	115.0	116.0	189.0
12.0	191.0	133.0	171.0	63.0	129.0	202.0	114.0	86.0	188.0
13.0	193.0	17.0	170.0	62.0	128.0	200.0	111.0	85.0	165.0
15.0	197.0	18.0	169.0	61.0	127.0	199.0	110.0	66.0	166.0
14.0	198.0	19.0	102.0	118.0	126.0	145.0	108.0	65.0	167.0
24.0	199.0	132.0	101.0	117.0	30.0	144.0	104.0	64.0	168.0
23.0	145.0	131.0	100.0	115.0	125.0	143.0	105.0	63.0	169.0
25.0	146.0	20.0	99.0	158.0	124.0	146.0	106.0	62.0	170.0
22.0	147.0	21.0	98.0	159.0	123.0	147.0	107.0	118.0	171.0
26.0	148.0	130.0	97.0	160.0	122.0	142.0	173.0	61.0	172.0
27.0	139.0	129.0	96.0	175.0	154.0	141.0	174.0	60.0	164.0
28.0	149.0	128.0	95.0	161.0	155.0	148.0	161.0	59.0	163.0
29.0	150.0	127.0	94.0	162.0	153.0	149.0	162.0	44.0	185.0
31.0	178.0	126.0	93.0	163.0	156.0	150.0	163.0	43.0	184.0
32.0	177.0	30.0	92.0	174.0	152.0	179.0	164.0	42.0	183.0
33.0	151.0	125.0	91.0	173.0	151.0	180.0	172.0	41.0	182.0
34.0	152.0	124.0	90.0	107.0	177.0	181.0	171.0	40.0	181.0
35.0	156.0	123.0	89.0	106.0	178.0	176.0	170.0	39.0	180.0
39.0	153.0	122.0	109.0	105.0	150.0	177.0	169.0	35.0	179.0
38.0	155.0	154.0	108.0	104.0	179.0	178.0	101.0	34.0	150.0
36.0	154.0	155.0	104.0	103.0	180.0	151.0	102.0	30.0	178.0
37.0	129.0	153.0	103.0	102.0	176.0	152.0	103.0	125.0	177.0
50.0	130.0	156.0	105.0	92.0	181.0	156.0	91.0	124.0	176.0
51.0	131.0	152.0	106.0	91.0	182.0	153.0	92.0	123.0	159.0
52.0	132.0	151.0	107.0	90.0	183.0	155.0	93.0	122.0	160.0
49.0	133.0	178.0	173.0	80.0	184.0	154.0	94.0	121.0	175.0
48.0	17.0	177.0	174.0	79.0	185.0	129.0	95.0	120.0	161.0
53.0	18.0	176.0	175.0	81.0	187.0	130.0	96.0	119.0	162.0
54.0	19.0	181.0	160.0	89.0	186.0	131.0	97.0	157.0	174.0
47.0	20.0	180.0	159.0	82.0	193.0	132.0	98.0	158.0	173.0
46.0	21.0	179.0	158.0	83.0	197.0	19.0	99.0	159.0	107.0
55.0	128.0	150.0	157.0	88.0	196.0	20.0	100.0	160.0	106.0
56.0	127.0	149.0	119.0	112.0	195.0	21.0	168.0	175.0	105.0
45.0	126.0	139.0	120.0	109.0	194.0	128.0	167.0	161.0	104.0
44.0	125.0	148.0	121.0	108.0	192.0	127.0	166.0	174.0	108.0
57.0	124.0	147.0	122.0	110.0	191.0	126.0	165.0	107.0	109.0
58.0	123.0	146.0	123.0	111.0	190.0	30.0	188.0	106.0	89.0
59.0	122.0	145.0	124.0	114.0	189.0	125.0	189.0	173.0	88.0
63.0	121.0	199.0	125.0	113.0	188.0	124.0	190.0	171.0	112.0
64.0	120.0	198.0	34.0	116.0	165.0	123.0	191.0	172.0	110.0
65.0	119.0	197.0	35.0	86.0	164.0	122.0	192.0	170.0	111.0
86.0	157.0	196.0	39.0	87.0	163.0	121.0	193.0	169.0	114.0
85.0	158.0	195.0	40.0	84.0	162.0	120.0	186.0	168.0	113.0
