2852.24-0	2806.96-1
1.0	1.0
2.0	5.0
280.0	6.0
3.0	7.0
279.0	8.0
278.0	9.0
248.0	10.0
249.0	11.0
250.0	15.0
251.0	12.0
247.0	13.0
246.0	14.0
245.0	24.0
244.0	23.0
243.0	25.0
242.0	22.0
241.0	26.0
240.0	27.0
239.0	28.0
238.0	29.0
237.0	31.0
233.0	32.0
234.0	33.0
235.0	30.0
236.0	125.0
232.0	124.0
231.0	123.0
230.0	122.0
229.0	121.0
228.0	120.0
227.0	119.0
226.0	157.0
225.0	158.0
224.0	159.0
223.0	160.0
219.0	175.0
222.0	161.0
221.0	162.0
220.0	163.0
218.0	164.0
217.0	171.0
215.0	172.0
216.0	169.0
213.0	170.0
214.0	173.0
212.0	174.0
211.0	107.0
210.0	106.0
209.0	105.0
252.0	104.0
255.0	103.0
254.0	99.0
257.0	98.0
258.0	97.0
256.0	96.0
253.0	95.0
208.0	94.0
207.0	93.0
206.0	79.0
205.0	80.0
204.0	78.0
203.0	77.0
202.0	75.0
200.0	76.0
144.0	74.0
145.0	73.0
199.0	72.0
201.0	71.0
198.0	67.0
196.0	70.0
197.0	69.0
195.0	68.0
194.0	58.0
192.0	59.0
193.0	44.0
191.0	57.0
190.0	56.0
189.0	45.0
188.0	46.0
186.0	55.0
187.0	54.0
185.0	47.0
184.0	48.0
183.0	53.0
182.0	52.0
181.0	51.0
180.0	50.0
179.0	49.0
176.0	37.0
177.0	38.0
178.0	35.0
151.0	34.0
152.0	36.0
156.0	39.0
153.0	40.0
155.0	41.0
154.0	42.0
129.0	43.0
130.0	60.0
131.0	61.0
132.0	117.0
133.0	118.0
134.0	62.0
269.0	63.0
270.0	64.0
135.0	66.0
136.0	65.0
268.0	85.0
267.0	86.0
137.0	116.0
138.0	115.0
141.0	114.0
142.0	111.0
143.0	110.0
146.0	108.0
147.0	109.0
148.0	112.0
139.0	113.0
149.0	87.0
150.0	84.0
140.0	83.0
266.0	88.0
265.0	82.0
264.0	81.0
263.0	89.0
262.0	90.0
259.0	91.0
260.0	92.0
261.0	102.0
274.0	101.0
273.0	100.0
272.0	168.0
271.0	167.0
16.0	166.0
17.0	165.0
18.0	188.0
19.0	189.0
20.0	190.0
21.0	186.0
128.0	187.0
127.0	185.0
126.0	184.0
31.0	183.0
30.0	182.0
125.0	181.0
124.0	180.0
123.0	179.0
122.0	176.0
121.0	177.0
120.0	178.0
119.0	151.0
157.0	152.0
158.0	156.0
159.0	153.0
160.0	155.0
175.0	154.0
161.0	127.0
162.0	126.0
163.0	129.0
164.0	128.0
165.0	21.0
166.0	130.0
167.0	131.0
168.0	20.0
170.0	19.0
172.0	132.0
171.0	18.0
173.0	17.0
106.0	133.0
174.0	134.0
107.0	270.0
105.0	135.0
108.0	136.0
110.0	137.0
111.0	266.0
112.0	267.0
88.0	265.0
87.0	264.0
85.0	263.0
84.0	262.0
83.0	261.0
82.0	260.0
79.0	259.0
81.0	258.0
80.0	257.0
101.0	255.0
169.0	256.0
100.0	249.0
99.0	248.0
102.0	247.0
103.0	245.0
90.0	246.0
89.0	231.0
109.0	232.0
104.0	233.0
91.0	235.0
92.0	236.0
98.0	234.0
93.0	237.0
94.0	238.0
97.0	239.0
96.0	240.0
95.0	241.0
78.0	242.0
77.0	243.0
76.0	244.0
75.0	250.0
74.0	251.0
73.0	230.0
72.0	229.0
71.0	228.0
70.0	227.0
68.0	226.0
69.0	225.0
67.0	224.0
66.0	223.0
65.0	219.0
64.0	222.0
63.0	221.0
62.0	220.0
118.0	217.0
117.0	218.0
115.0	215.0
114.0	216.0
113.0	213.0
86.0	214.0
116.0	211.0
61.0	212.0
60.0	207.0
42.0	210.0
43.0	209.0
44.0	252.0
59.0	254.0
58.0	253.0
57.0	208.0
56.0	206.0
55.0	205.0
46.0	204.0
45.0	203.0
41.0	202.0
40.0	144.0
39.0	200.0
48.0	201.0
47.0	196.0
54.0	195.0
53.0	194.0
52.0	192.0
51.0	191.0
49.0	193.0
50.0	197.0
37.0	198.0
36.0	199.0
38.0	145.0
35.0	146.0
34.0	143.0
33.0	142.0
32.0	147.0
29.0	148.0
28.0	141.0
27.0	140.0
26.0	139.0
22.0	149.0
25.0	150.0
23.0	138.0
24.0	268.0
14.0	269.0
15.0	16.0
13.0	271.0
12.0	272.0
11.0	273.0
10.0	274.0
8.0	275.0
7.0	276.0
9.0	277.0
275.0	4.0
276.0	278.0
277.0	279.0
4.0	3.0
6.0	280.0
5.0	2.0
1.0	1.0
