2772.61-0	2711.56-1
1.0	1.0
2.0	280.0
242.0	3.0
243.0	279.0
241.0	4.0
244.0	5.0
245.0	6.0
240.0	7.0
239.0	8.0
246.0	9.0
231.0	10.0
238.0	11.0
237.0	12.0
232.0	15.0
233.0	13.0
236.0	14.0
235.0	24.0
234.0	23.0
224.0	25.0
223.0	22.0
225.0	26.0
226.0	27.0
227.0	28.0
228.0	29.0
229.0	126.0
230.0	127.0
251.0	128.0
250.0	129.0
247.0	130.0
248.0	21.0
249.0	20.0
256.0	131.0
257.0	132.0
258.0	19.0
259.0	18.0
260.0	17.0
261.0	133.0
262.0	134.0
263.0	135.0
264.0	269.0
254.0	270.0
255.0	16.0
252.0	271.0
253.0	272.0
208.0	273.0
209.0	274.0
210.0	275.0
211.0	276.0
214.0	277.0
215.0	278.0
218.0	248.0
219.0	249.0
222.0	250.0
221.0	251.0
220.0	230.0
217.0	210.0
216.0	209.0
213.0	252.0
212.0	253.0
207.0	254.0
206.0	255.0
205.0	256.0
204.0	257.0
203.0	258.0
202.0	259.0
200.0	260.0
199.0	261.0
198.0	262.0
201.0	263.0
196.0	264.0
195.0	265.0
194.0	266.0
197.0	267.0
193.0	268.0
192.0	136.0
191.0	137.0
190.0	138.0
189.0	139.0
188.0	140.0
187.0	141.0
186.0	142.0
185.0	147.0
184.0	148.0
183.0	149.0
182.0	150.0
161.0	179.0
162.0	180.0
163.0	181.0
164.0	176.0
165.0	177.0
166.0	178.0
167.0	151.0
168.0	152.0
172.0	156.0
171.0	153.0
170.0	155.0
169.0	154.0
102.0	122.0
101.0	123.0
100.0	124.0
99.0	125.0
98.0	30.0
97.0	31.0
96.0	32.0
95.0	33.0
94.0	34.0
93.0	35.0
92.0	36.0
91.0	37.0
90.0	38.0
80.0	49.0
79.0	50.0
78.0	51.0
77.0	52.0
76.0	53.0
75.0	54.0
74.0	55.0
73.0	56.0
72.0	57.0
71.0	58.0
70.0	59.0
67.0	44.0
69.0	45.0
68.0	46.0
58.0	47.0
59.0	48.0
57.0	39.0
44.0	40.0
45.0	41.0
56.0	42.0
55.0	43.0
46.0	60.0
47.0	61.0
54.0	62.0
53.0	63.0
48.0	64.0
49.0	65.0
52.0	66.0
51.0	67.0
50.0	68.0
37.0	69.0
36.0	70.0
35.0	71.0
38.0	72.0
39.0	73.0
40.0	74.0
41.0	76.0
42.0	75.0
43.0	77.0
60.0	78.0
61.0	95.0
118.0	96.0
62.0	97.0
63.0	98.0
64.0	93.0
66.0	94.0
65.0	80.0
86.0	79.0
85.0	81.0
84.0	82.0
87.0	89.0
113.0	109.0
116.0	90.0
117.0	91.0
115.0	92.0
114.0	99.0
111.0	100.0
110.0	168.0
112.0	167.0
88.0	166.0
83.0	165.0
82.0	164.0
81.0	163.0
89.0	162.0
109.0	161.0
108.0	174.0
104.0	107.0
103.0	106.0
105.0	173.0
107.0	172.0
106.0	171.0
173.0	170.0
174.0	169.0
175.0	101.0
160.0	102.0
159.0	103.0
158.0	105.0
157.0	104.0
177.0	108.0
176.0	110.0
181.0	112.0
180.0	111.0
179.0	114.0
147.0	113.0
146.0	87.0
145.0	88.0
144.0	83.0
143.0	84.0
142.0	85.0
141.0	86.0
140.0	116.0
265.0	115.0
266.0	117.0
267.0	118.0
268.0	121.0
269.0	120.0
270.0	119.0
134.0	157.0
135.0	158.0
136.0	159.0
137.0	160.0
138.0	175.0
139.0	182.0
148.0	183.0
149.0	184.0
150.0	185.0
178.0	186.0
151.0	187.0
152.0	188.0
156.0	189.0
153.0	190.0
119.0	191.0
120.0	192.0
121.0	193.0
122.0	194.0
123.0	195.0
155.0	196.0
154.0	197.0
129.0	198.0
130.0	199.0
131.0	145.0
20.0	146.0
21.0	143.0
128.0	144.0
127.0	200.0
126.0	201.0
124.0	202.0
125.0	203.0
30.0	204.0
34.0	205.0
33.0	206.0
32.0	208.0
31.0	207.0
29.0	212.0
28.0	211.0
27.0	214.0
26.0	213.0
22.0	216.0
25.0	215.0
23.0	218.0
24.0	217.0
18.0	220.0
19.0	221.0
132.0	222.0
133.0	219.0
17.0	223.0
16.0	224.0
271.0	225.0
272.0	226.0
273.0	227.0
274.0	228.0
275.0	229.0
276.0	232.0
9.0	233.0
15.0	234.0
14.0	235.0
13.0	236.0
12.0	237.0
11.0	238.0
10.0	231.0
8.0	246.0
7.0	239.0
6.0	240.0
5.0	245.0
4.0	247.0
277.0	244.0
278.0	241.0
279.0	243.0
3.0	242.0
280.0	2.0
1.0	1.0
