2665.32-0	2735.61-1	2783.68-2	2681.15-3
1.0	1.0	1.0	1.0
2.0	2.0	5.0	2.0
242.0	242.0	6.0	242.0
243.0	243.0	7.0	243.0
241.0	244.0	8.0	241.0
240.0	241.0	9.0	244.0
239.0	240.0	10.0	245.0
238.0	239.0	11.0	240.0
237.0	238.0	12.0	239.0
236.0	237.0	13.0	246.0
235.0	232.0	14.0	231.0
234.0	231.0	15.0	238.0
233.0	246.0	271.0	237.0
232.0	245.0	16.0	236.0
231.0	247.0	270.0	235.0
246.0	250.0	134.0	234.0
245.0	248.0	135.0	233.0
244.0	249.0	136.0	232.0
247.0	256.0	268.0	229.0
248.0	257.0	269.0	230.0
249.0	258.0	263.0	251.0
250.0	259.0	264.0	250.0
251.0	260.0	265.0	247.0
230.0	261.0	266.0	248.0
229.0	262.0	267.0	249.0
228.0	263.0	137.0	256.0
227.0	264.0	138.0	258.0
226.0	254.0	139.0	257.0
225.0	255.0	149.0	254.0
224.0	252.0	150.0	255.0
223.0	253.0	178.0	252.0
219.0	208.0	151.0	253.0
222.0	209.0	177.0	208.0
221.0	251.0	176.0	209.0
220.0	230.0	181.0	210.0
217.0	229.0	161.0	211.0
218.0	228.0	162.0	228.0
215.0	233.0	163.0	227.0
216.0	236.0	164.0	226.0
213.0	235.0	171.0	225.0
214.0	234.0	172.0	224.0
211.0	227.0	170.0	223.0
212.0	226.0	169.0	222.0
204.0	225.0	101.0	221.0
205.0	224.0	102.0	220.0
206.0	223.0	103.0	219.0
208.0	222.0	92.0	218.0
207.0	221.0	91.0	217.0
210.0	220.0	90.0	216.0
209.0	219.0	109.0	215.0
252.0	218.0	89.0	214.0
253.0	217.0	80.0	213.0
254.0	216.0	79.0	212.0
255.0	215.0	81.0	207.0
256.0	214.0	82.0	206.0
257.0	213.0	83.0	205.0
258.0	212.0	88.0	204.0
259.0	211.0	87.0	203.0
260.0	210.0	84.0	202.0
261.0	207.0	85.0	201.0
262.0	206.0	86.0	200.0
263.0	205.0	116.0	199.0
264.0	204.0	117.0	198.0
265.0	203.0	115.0	197.0
266.0	202.0	114.0	196.0
140.0	200.0	113.0	195.0
141.0	199.0	112.0	194.0
148.0	198.0	111.0	193.0
147.0	201.0	110.0	192.0
142.0	196.0	108.0	191.0
143.0	195.0	104.0	190.0
146.0	194.0	105.0	189.0
145.0	197.0	106.0	188.0
144.0	193.0	107.0	187.0
203.0	192.0	173.0	186.0
202.0	191.0	174.0	185.0
201.0	190.0	175.0	184.0
200.0	189.0	160.0	183.0
199.0	188.0	159.0	182.0
198.0	187.0	158.0	181.0
197.0	186.0	157.0	176.0
196.0	185.0	119.0	180.0
195.0	184.0	120.0	179.0
194.0	183.0	152.0	150.0
193.0	182.0	156.0	178.0
192.0	181.0	153.0	177.0
191.0	180.0	155.0	151.0
190.0	179.0	154.0	152.0
189.0	150.0	121.0	156.0
188.0	149.0	122.0	153.0
187.0	139.0	123.0	155.0
186.0	148.0	124.0	154.0
185.0	147.0	125.0	123.0
184.0	146.0	126.0	122.0
183.0	145.0	127.0	121.0
182.0	144.0	128.0	120.0
181.0	143.0	21.0	119.0
180.0	142.0	129.0	157.0
179.0	141.0	130.0	158.0
176.0	140.0	131.0	159.0
177.0	265.0	20.0	160.0
151.0	266.0	19.0	175.0
178.0	138.0	132.0	161.0
150.0	137.0	133.0	162.0
149.0	267.0	18.0	163.0
139.0	268.0	17.0	164.0
138.0	136.0	24.0	165.0
137.0	135.0	23.0	166.0
267.0	269.0	25.0	167.0
268.0	270.0	22.0	168.0
136.0	134.0	26.0	169.0
135.0	133.0	27.0	170.0
269.0	17.0	28.0	172.0
270.0	18.0	29.0	171.0
134.0	19.0	30.0	173.0
133.0	132.0	31.0	174.0
17.0	131.0	32.0	107.0
18.0	20.0	33.0	106.0
19.0	21.0	34.0	105.0
132.0	130.0	35.0	104.0
131.0	129.0	36.0	103.0
20.0	128.0	37.0	102.0
21.0	127.0	38.0	101.0
130.0	126.0	49.0	100.0
129.0	154.0	50.0	99.0
128.0	155.0	51.0	98.0
127.0	153.0	52.0	93.0
126.0	156.0	53.0	94.0
125.0	152.0	54.0	97.0
124.0	151.0	55.0	96.0
123.0	178.0	56.0	95.0
122.0	177.0	57.0	78.0
121.0	176.0	69.0	77.0
154.0	160.0	68.0	76.0
155.0	159.0	58.0	75.0
153.0	158.0	59.0	74.0
156.0	157.0	44.0	73.0
152.0	119.0	45.0	72.0
120.0	120.0	46.0	71.0
119.0	121.0	47.0	70.0
157.0	122.0	48.0	69.0
