2856.18-0	2891.75-1	2916.39-2	2878.34-3	2882.14-4	2930.19-5	2995.16-6	2870.18-7	3013.74-8	2911.35-9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
280.0	5.0	2.0	2.0	280.0	280.0	2.0	280.0	280.0	2.0
2.0	4.0	243.0	242.0	3.0	3.0	248.0	3.0	3.0	280.0
242.0	277.0	242.0	243.0	279.0	279.0	249.0	279.0	279.0	3.0
243.0	6.0	241.0	244.0	278.0	278.0	250.0	4.0	248.0	279.0
248.0	7.0	244.0	241.0	249.0	277.0	247.0	5.0	244.0	278.0
247.0	8.0	245.0	240.0	248.0	4.0	245.0	6.0	247.0	4.0
245.0	10.0	240.0	239.0	277.0	5.0	244.0	277.0	249.0	277.0
244.0	9.0	239.0	238.0	4.0	6.0	243.0	276.0	278.0	276.0
241.0	276.0	246.0	231.0	5.0	7.0	242.0	275.0	277.0	275.0
240.0	275.0	231.0	232.0	6.0	8.0	241.0	274.0	4.0	274.0
239.0	274.0	238.0	237.0	7.0	9.0	240.0	273.0	5.0	273.0
246.0	273.0	237.0	236.0	8.0	10.0	239.0	9.0	6.0	261.0
238.0	272.0	232.0	233.0	10.0	11.0	238.0	7.0	276.0	260.0
237.0	271.0	233.0	235.0	9.0	12.0	237.0	8.0	261.0	259.0
236.0	16.0	236.0	234.0	276.0	15.0	236.0	10.0	262.0	262.0
235.0	15.0	235.0	226.0	275.0	13.0	235.0	11.0	263.0	263.0
234.0	12.0	234.0	227.0	274.0	14.0	234.0	12.0	264.0	264.0
233.0	11.0	226.0	228.0	273.0	24.0	233.0	13.0	265.0	265.0
232.0	13.0	225.0	229.0	272.0	23.0	232.0	15.0	254.0	266.0
231.0	14.0	224.0	230.0	271.0	25.0	231.0	272.0	257.0	138.0
230.0	24.0	223.0	246.0	16.0	22.0	246.0	271.0	258.0	139.0
251.0	23.0	222.0	245.0	15.0	26.0	251.0	16.0	259.0	141.0
250.0	25.0	221.0	247.0	11.0	27.0	230.0	14.0	260.0	140.0
249.0	22.0	220.0	250.0	12.0	28.0	229.0	24.0	273.0	148.0
278.0	26.0	219.0	251.0	13.0	32.0	228.0	23.0	274.0	149.0
279.0	27.0	218.0	209.0	14.0	31.0	227.0	25.0	275.0	150.0
3.0	128.0	217.0	210.0	24.0	29.0	226.0	20.0	9.0	179.0
4.0	127.0	216.0	211.0	23.0	126.0	225.0	131.0	7.0	180.0
277.0	126.0	213.0	212.0	25.0	127.0	224.0	132.0	8.0	181.0
276.0	28.0	215.0	214.0	19.0	128.0	223.0	19.0	10.0	182.0
275.0	29.0	214.0	215.0	18.0	130.0	219.0	18.0	11.0	183.0
274.0	32.0	227.0	218.0	17.0	21.0	222.0	17.0	12.0	184.0
273.0	31.0	228.0	219.0	133.0	129.0	221.0	133.0	13.0	185.0
272.0	34.0	229.0	225.0	132.0	154.0	220.0	134.0	14.0	186.0
271.0	33.0	230.0	224.0	131.0	155.0	217.0	270.0	15.0	193.0
16.0	30.0	251.0	223.0	20.0	122.0	218.0	135.0	272.0	197.0
17.0	125.0	250.0	222.0	21.0	123.0	215.0	269.0	271.0	198.0
18.0	124.0	247.0	221.0	130.0	124.0	214.0	136.0	16.0	199.0
19.0	123.0	255.0	220.0	129.0	125.0	211.0	268.0	17.0	145.0
20.0	122.0	254.0	217.0	154.0	30.0	210.0	264.0	133.0	146.0
21.0	121.0	253.0	216.0	155.0	33.0	207.0	265.0	18.0	147.0
128.0	120.0	252.0	213.0	122.0	34.0	212.0	266.0	24.0	142.0
127.0	119.0	208.0	207.0	123.0	35.0	213.0	267.0	23.0	143.0
126.0	157.0	209.0	206.0	124.0	39.0	216.0	137.0	25.0	144.0
129.0	158.0	210.0	205.0	125.0	38.0	204.0	138.0	22.0	204.0
130.0	159.0	211.0	204.0	30.0	36.0	205.0	139.0	26.0	205.0
131.0	160.0	212.0	203.0	126.0	37.0	206.0	149.0	27.0	206.0
132.0	175.0	207.0	202.0	127.0	50.0	208.0	150.0	28.0	207.0
133.0	161.0	206.0	201.0	128.0	51.0	253.0	178.0	32.0	212.0
134.0	181.0	205.0	198.0	22.0	52.0	209.0	177.0	31.0	213.0
270.0	176.0	204.0	197.0	26.0	49.0	252.0	179.0	30.0	214.0
269.0	179.0	203.0	196.0	27.0	53.0	254.0	180.0	125.0	211.0
268.0	180.0	202.0	195.0	28.0	54.0	255.0	182.0	124.0	210.0
135.0	182.0	200.0	194.0	29.0	55.0	256.0	181.0	123.0	209.0
136.0	183.0	144.0	193.0	31.0	56.0	257.0	176.0	122.0	208.0
137.0	184.0	146.0	192.0	32.0	46.0	258.0	151.0	121.0	253.0
267.0	162.0	147.0	191.0	33.0	47.0	259.0	152.0	120.0	252.0
266.0	163.0	142.0	190.0	34.0	48.0	262.0	156.0	119.0	255.0
138.0	164.0	143.0	189.0	35.0	40.0	264.0	153.0	157.0	254.0
139.0	171.0	145.0	188.0	36.0	41.0	263.0	155.0	158.0	257.0
149.0	172.0	199.0	187.0	38.0	42.0	261.0	154.0	159.0	258.0
148.0	170.0	198.0	186.0	37.0	43.0	260.0	121.0	160.0	256.0
