2705.09-0	2646.79-1	2640.72-2	2646.22-3	2657.67-4
1.0	1.0	1.0	1.0	1.0
280.0	280.0	2.0	280.0	2.0
3.0	3.0	280.0	3.0	242.0
279.0	279.0	3.0	279.0	243.0
278.0	278.0	279.0	278.0	241.0
248.0	248.0	278.0	277.0	240.0
249.0	249.0	248.0	4.0	239.0
250.0	250.0	249.0	5.0	238.0
251.0	251.0	250.0	6.0	237.0
230.0	230.0	247.0	7.0	232.0
229.0	229.0	245.0	8.0	231.0
228.0	228.0	244.0	10.0	246.0
210.0	211.0	243.0	11.0	245.0
208.0	210.0	242.0	9.0	244.0
209.0	209.0	241.0	276.0	247.0
252.0	208.0	240.0	275.0	250.0
253.0	253.0	239.0	274.0	251.0
254.0	252.0	238.0	273.0	230.0
255.0	255.0	237.0	272.0	229.0
256.0	256.0	236.0	271.0	228.0
257.0	254.0	235.0	16.0	233.0
258.0	257.0	234.0	15.0	236.0
259.0	258.0	233.0	12.0	235.0
260.0	259.0	232.0	13.0	234.0
261.0	260.0	231.0	14.0	227.0
262.0	261.0	246.0	24.0	226.0
263.0	262.0	251.0	23.0	225.0
264.0	263.0	230.0	25.0	224.0
265.0	264.0	229.0	22.0	223.0
266.0	265.0	228.0	26.0	222.0
267.0	266.0	227.0	27.0	221.0
268.0	267.0	226.0	28.0	220.0
269.0	268.0	225.0	29.0	219.0
270.0	269.0	224.0	31.0	218.0
134.0	270.0	223.0	32.0	217.0
135.0	134.0	219.0	33.0	216.0
136.0	135.0	222.0	34.0	215.0
137.0	136.0	221.0	35.0	214.0
138.0	137.0	220.0	36.0	213.0
139.0	138.0	217.0	37.0	212.0
140.0	139.0	218.0	38.0	211.0
141.0	140.0	215.0	49.0	210.0
142.0	141.0	216.0	50.0	209.0
147.0	148.0	213.0	51.0	208.0
148.0	149.0	214.0	52.0	207.0
149.0	150.0	211.0	53.0	206.0
150.0	179.0	212.0	54.0	205.0
178.0	180.0	207.0	55.0	204.0
151.0	181.0	210.0	56.0	203.0
177.0	176.0	209.0	57.0	202.0
176.0	177.0	252.0	58.0	201.0
179.0	178.0	255.0	59.0	196.0
180.0	151.0	256.0	44.0	195.0
181.0	152.0	258.0	45.0	194.0
182.0	156.0	257.0	46.0	197.0
183.0	153.0	254.0	47.0	198.0
184.0	155.0	253.0	48.0	199.0
161.0	154.0	208.0	39.0	200.0
175.0	129.0	206.0	40.0	144.0
160.0	126.0	205.0	41.0	145.0
159.0	127.0	204.0	42.0	146.0
158.0	128.0	203.0	43.0	143.0
157.0	21.0	202.0	60.0	142.0
119.0	130.0	201.0	61.0	141.0
120.0	131.0	200.0	62.0	147.0
152.0	20.0	144.0	118.0	148.0
156.0	19.0	143.0	117.0	149.0
153.0	132.0	146.0	115.0	139.0
155.0	133.0	145.0	116.0	140.0
154.0	18.0	199.0	86.0	266.0
121.0	17.0	198.0	85.0	138.0
122.0	16.0	197.0	65.0	137.0
123.0	271.0	196.0	63.0	136.0
124.0	272.0	195.0	64.0	135.0
125.0	273.0	194.0	66.0	134.0
30.0	274.0	193.0	67.0	133.0
126.0	275.0	192.0	68.0	17.0
127.0	276.0	191.0	69.0	18.0
128.0	277.0	190.0	70.0	19.0
129.0	4.0	189.0	71.0	132.0
130.0	5.0	188.0	72.0	131.0
21.0	6.0	187.0	73.0	20.0
20.0	7.0	186.0	74.0	21.0
131.0	9.0	185.0	76.0	130.0
132.0	8.0	184.0	75.0	129.0
19.0	10.0	183.0	77.0	128.0
133.0	11.0	182.0	78.0	127.0
18.0	12.0	181.0	79.0	126.0
17.0	15.0	176.0	80.0	154.0
16.0	13.0	180.0	81.0	155.0
271.0	14.0	179.0	82.0	153.0
272.0	24.0	150.0	89.0	156.0
273.0	23.0	178.0	90.0	152.0
274.0	25.0	177.0	109.0	151.0
275.0	22.0	151.0	112.0	177.0
276.0	26.0	152.0	88.0	178.0
277.0	27.0	156.0	83.0	150.0
4.0	28.0	153.0	84.0	179.0
5.0	29.0	155.0	87.0	180.0
6.0	31.0	154.0	113.0	176.0
7.0	32.0	129.0	114.0	181.0
8.0	33.0	130.0	111.0	182.0
9.0	34.0	21.0	110.0	183.0
10.0	30.0	128.0	108.0	184.0
11.0	125.0	127.0	104.0	185.0
12.0	124.0	126.0	105.0	187.0
13.0	123.0	30.0	106.0	186.0
15.0	122.0	125.0	107.0	193.0
14.0	121.0	124.0	174.0	192.0
24.0	120.0	123.0	173.0	191.0
23.0	119.0	122.0	171.0	190.0
25.0	157.0	121.0	172.0	189.0
22.0	158.0	120.0	170.0	188.0
26.0	159.0	119.0	169.0	165.0
27.0	160.0	157.0	101.0	166.0
28.0	175.0	158.0	102.0	167.0
29.0	174.0	159.0	103.0	168.0
31.0	173.0	160.0	91.0	100.0
32.0	107.0	175.0	92.0	99.0
33.0	106.0	161.0	93.0	98.0
34.0	105.0	162.0	94.0	97.0
35.0	103.0	163.0	95.0	96.0
36.0	104.0	164.0	96.0	95.0
37.0	108.0	165.0	97.0	94.0
50.0	110.0	166.0	98.0	93.0
51.0	111.0	167.0	99.0	92.0
52.0	112.0	168.0	100.0	91.0
49.0	113.0	172.0	168.0	90.0
38.0	114.0	171.0	167.0	109.0
39.0	115.0	170.0	166.0	89.0
40.0	117.0	169.0	165.0	81.0
41.0	118.0	102.0	164.0	80.0
42.0	61.0	101.0	163.0	79.0
43.0	60.0	100.0	162.0	78.0
60.0	43.0	99.0	161.0	77.0
61.0	42.0	98.0	175.0	76.0
118.0	41.0	97.0	160.0	75.0
117.0	40.0	96.0	159.0	74.0
115.0	39.0	95.0	158.0	73.0
114.0	35.0	94.0	157.0	72.0
113.0	36.0	93.0	119.0	71.0
116.0	38.0	92.0	120.0	70.0
86.0	37.0	91.0	121.0	67.0
87.0	50.0	90.0	122.0	69.0
88.0	51.0	109.0	123.0	68.0
112.0	52.0	108.0	124.0	58.0
111.0	49.0	104.0	125.0	59.0
110.0	48.0	103.0	30.0	44.0
108.0	53.0	105.0	126.0	57.0
109.0	54.0	106.0	127.0	56.0
89.0	47.0	173.0	128.0	45.0
80.0	55.0	174.0	21.0	46.0
79.0	46.0	107.0	20.0	55.0
81.0	45.0	110.0	19.0	54.0
82.0	56.0	112.0	18.0	47.0
83.0	57.0	111.0	17.0	48.0
84.0	44.0	114.0	133.0	53.0
85.0	59.0	115.0	132.0	52.0
65.0	58.0	117.0	131.0	51.0
66.0	64.0	116.0	130.0	50.0
64.0	63.0	113.0	129.0	49.0
63.0	62.0	87.0	154.0	38.0
62.0	116.0	86.0	155.0	37.0
59.0	86.0	85.0	153.0	36.0
44.0	85.0	84.0	156.0	35.0
45.0	65.0	83.0	152.0	39.0
46.0	66.0	88.0	151.0	40.0
47.0	67.0	82.0	177.0	41.0
48.0	68.0	89.0	178.0	42.0
53.0	69.0	81.0	150.0	43.0
54.0	70.0	80.0	179.0	60.0
55.0	71.0	79.0	180.0	61.0
56.0	72.0	78.0	176.0	118.0
57.0	73.0	77.0	181.0	62.0
58.0	74.0	75.0	182.0	63.0
68.0	76.0	76.0	183.0	64.0
69.0	75.0	74.0	184.0	65.0
67.0	77.0	73.0	185.0	66.0
70.0	78.0	72.0	186.0	85.0
71.0	79.0	71.0	187.0	86.0
72.0	80.0	70.0	188.0	116.0
73.0	81.0	69.0	189.0	117.0
74.0	82.0	68.0	190.0	115.0
75.0	83.0	67.0	191.0	114.0
76.0	84.0	66.0	192.0	113.0
77.0	87.0	65.0	193.0	87.0
78.0	88.0	64.0	197.0	84.0
95.0	89.0	63.0	194.0	83.0
96.0	109.0	62.0	195.0	82.0
97.0	90.0	118.0	196.0	88.0
94.0	91.0	61.0	201.0	112.0
93.0	92.0	60.0	198.0	111.0
98.0	93.0	43.0	199.0	110.0
99.0	94.0	42.0	145.0	108.0
100.0	95.0	41.0	146.0	107.0
168.0	96.0	40.0	147.0	174.0
167.0	97.0	39.0	148.0	173.0
166.0	98.0	38.0	149.0	106.0
172.0	99.0	49.0	139.0	105.0
171.0	100.0	48.0	138.0	104.0
170.0	101.0	47.0	137.0	103.0
169.0	102.0	46.0	136.0	102.0
101.0	169.0	45.0	135.0	101.0
102.0	170.0	44.0	134.0	169.0
103.0	172.0	59.0	270.0	170.0
