2610.03-0	2627.35-1	2668.22-2
1.0	1.0	1.0
2.0	2.0	2.0
242.0	242.0	242.0
243.0	243.0	243.0
244.0	244.0	241.0
241.0	241.0	240.0
240.0	240.0	239.0
239.0	239.0	238.0
238.0	238.0	237.0
237.0	237.0	236.0
236.0	236.0	235.0
235.0	235.0	234.0
234.0	234.0	233.0
233.0	233.0	232.0
232.0	232.0	231.0
231.0	231.0	246.0
246.0	246.0	245.0
245.0	245.0	244.0
247.0	247.0	247.0
250.0	248.0	248.0
251.0	249.0	249.0
230.0	250.0	250.0
229.0	251.0	251.0
228.0	230.0	230.0
227.0	229.0	229.0
226.0	228.0	228.0
225.0	227.0	227.0
224.0	226.0	226.0
223.0	225.0	225.0
222.0	224.0	224.0
221.0	223.0	223.0
220.0	219.0	219.0
219.0	222.0	222.0
218.0	221.0	221.0
217.0	220.0	220.0
216.0	217.0	217.0
215.0	218.0	218.0
214.0	215.0	215.0
213.0	216.0	216.0
212.0	203.0	203.0
211.0	204.0	204.0
210.0	205.0	205.0
209.0	206.0	206.0
208.0	208.0	208.0
207.0	207.0	207.0
206.0	212.0	212.0
205.0	213.0	213.0
204.0	214.0	214.0
203.0	211.0	211.0
202.0	210.0	210.0
201.0	209.0	209.0
196.0	252.0	252.0
195.0	253.0	253.0
194.0	254.0	254.0
197.0	255.0	255.0
198.0	256.0	256.0
199.0	257.0	257.0
200.0	258.0	258.0
144.0	259.0	259.0
145.0	260.0	260.0
146.0	261.0	261.0
143.0	262.0	262.0
142.0	263.0	263.0
147.0	264.0	264.0
148.0	265.0	265.0
141.0	140.0	266.0
140.0	266.0	138.0
139.0	267.0	137.0
149.0	268.0	267.0
150.0	269.0	268.0
179.0	270.0	136.0
180.0	134.0	135.0
181.0	135.0	269.0
182.0	136.0	270.0
183.0	137.0	134.0
184.0	138.0	133.0
185.0	139.0	17.0
187.0	149.0	18.0
186.0	148.0	19.0
193.0	141.0	132.0
192.0	142.0	131.0
191.0	147.0	20.0
190.0	146.0	21.0
189.0	143.0	130.0
188.0	144.0	129.0
165.0	145.0	128.0
164.0	199.0	127.0
163.0	200.0	126.0
162.0	202.0	154.0
161.0	201.0	155.0
175.0	198.0	153.0
174.0	197.0	156.0
173.0	196.0	152.0
107.0	195.0	151.0
106.0	194.0	178.0
105.0	193.0	177.0
104.0	192.0	176.0
103.0	191.0	181.0
102.0	190.0	180.0
101.0	189.0	179.0
169.0	188.0	150.0
170.0	187.0	149.0
171.0	186.0	148.0
172.0	185.0	139.0
166.0	184.0	140.0
167.0	183.0	141.0
168.0	182.0	142.0
100.0	181.0	147.0
99.0	176.0	146.0
98.0	180.0	143.0
97.0	179.0	144.0
96.0	150.0	145.0
95.0	178.0	199.0
94.0	177.0	200.0
93.0	151.0	202.0
92.0	152.0	201.0
91.0	156.0	198.0
90.0	153.0	197.0
89.0	155.0	196.0
109.0	154.0	195.0
108.0	129.0	194.0
110.0	130.0	193.0
112.0	131.0	192.0
111.0	132.0	191.0
114.0	133.0	190.0
113.0	17.0	189.0
87.0	18.0	188.0
84.0	19.0	187.0
83.0	20.0	186.0
88.0	21.0	185.0
82.0	128.0	184.0
81.0	127.0	183.0
80.0	126.0	182.0
79.0	125.0	162.0
78.0	124.0	163.0
77.0	123.0	164.0
76.0	122.0	165.0
75.0	121.0	166.0
74.0	120.0	167.0
73.0	119.0	168.0
72.0	157.0	171.0
71.0	158.0	172.0
70.0	159.0	170.0
67.0	160.0	169.0
69.0	175.0	102.0
68.0	161.0	101.0
58.0	162.0	100.0
57.0	163.0	99.0
56.0	164.0	98.0
55.0	165.0	93.0
54.0	166.0	94.0
53.0	167.0	97.0
52.0	168.0	96.0
51.0	169.0	95.0
