2676.46-0	2659.85-1	2738.1-2	2721.6-3	2705.23-4	2747.17-5	2726.15-6	2753.72-7	2730.91-8	2773.69-9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	280.0	280.0
6.0	242.0	242.0	242.0	280.0	243.0	242.0	242.0	3.0	3.0
7.0	243.0	243.0	243.0	3.0	242.0	243.0	243.0	279.0	279.0
9.0	241.0	241.0	241.0	279.0	241.0	244.0	241.0	278.0	278.0
8.0	240.0	244.0	244.0	278.0	240.0	241.0	244.0	4.0	277.0
10.0	239.0	245.0	245.0	4.0	239.0	240.0	245.0	5.0	4.0
11.0	238.0	240.0	240.0	277.0	238.0	239.0	240.0	6.0	5.0
12.0	237.0	239.0	239.0	276.0	237.0	238.0	239.0	277.0	6.0
15.0	236.0	246.0	246.0	275.0	236.0	237.0	246.0	276.0	7.0
13.0	235.0	231.0	231.0	274.0	235.0	236.0	231.0	275.0	8.0
14.0	234.0	238.0	238.0	273.0	234.0	235.0	238.0	274.0	9.0
24.0	233.0	237.0	237.0	272.0	233.0	234.0	232.0	9.0	10.0
23.0	232.0	232.0	232.0	262.0	232.0	233.0	237.0	7.0	11.0
25.0	231.0	233.0	233.0	261.0	231.0	232.0	236.0	8.0	12.0
22.0	246.0	236.0	236.0	260.0	246.0	231.0	235.0	10.0	15.0
26.0	245.0	235.0	235.0	259.0	245.0	246.0	234.0	11.0	13.0
27.0	244.0	234.0	234.0	258.0	244.0	245.0	233.0	12.0	14.0
28.0	247.0	223.0	228.0	257.0	247.0	247.0	228.0	13.0	24.0
29.0	250.0	224.0	229.0	254.0	250.0	248.0	227.0	14.0	23.0
31.0	251.0	225.0	230.0	255.0	251.0	249.0	226.0	15.0	25.0
32.0	230.0	226.0	251.0	256.0	230.0	250.0	225.0	273.0	22.0
33.0	229.0	227.0	250.0	249.0	229.0	251.0	224.0	272.0	26.0
34.0	228.0	228.0	247.0	248.0	228.0	230.0	223.0	271.0	27.0
35.0	227.0	229.0	248.0	244.0	227.0	229.0	222.0	16.0	28.0
36.0	226.0	230.0	249.0	243.0	226.0	228.0	221.0	24.0	29.0
37.0	225.0	251.0	256.0	242.0	225.0	227.0	220.0	23.0	128.0
38.0	224.0	250.0	255.0	241.0	224.0	226.0	219.0	25.0	21.0
39.0	223.0	247.0	252.0	240.0	223.0	225.0	218.0	22.0	20.0
47.0	222.0	248.0	209.0	239.0	222.0	224.0	217.0	26.0	19.0
48.0	221.0	249.0	210.0	238.0	221.0	223.0	216.0	27.0	18.0
49.0	220.0	256.0	207.0	237.0	220.0	222.0	215.0	28.0	17.0
50.0	219.0	255.0	211.0	236.0	219.0	221.0	214.0	29.0	133.0
51.0	218.0	252.0	214.0	235.0	218.0	220.0	213.0	126.0	132.0
52.0	217.0	209.0	227.0	234.0	217.0	219.0	212.0	127.0	131.0
53.0	216.0	210.0	226.0	233.0	216.0	218.0	211.0	128.0	130.0
54.0	215.0	211.0	225.0	232.0	215.0	217.0	210.0	129.0	129.0
55.0	214.0	214.0	224.0	231.0	214.0	216.0	229.0	130.0	127.0
46.0	213.0	215.0	223.0	246.0	211.0	215.0	230.0	21.0	126.0
45.0	212.0	218.0	222.0	245.0	212.0	214.0	251.0	20.0	31.0
56.0	211.0	219.0	221.0	247.0	213.0	213.0	250.0	131.0	32.0
57.0	210.0	222.0	220.0	250.0	203.0	212.0	247.0	132.0	33.0
44.0	209.0	221.0	219.0	251.0	204.0	211.0	248.0	19.0	34.0
59.0	208.0	220.0	218.0	230.0	205.0	210.0	249.0	18.0	30.0
58.0	207.0	217.0	215.0	229.0	206.0	207.0	256.0	17.0	125.0
68.0	206.0	216.0	217.0	228.0	207.0	205.0	258.0	133.0	124.0
69.0	205.0	213.0	216.0	227.0	210.0	206.0	257.0	134.0	123.0
67.0	204.0	212.0	213.0	226.0	209.0	208.0	254.0	270.0	122.0
70.0	203.0	207.0	212.0	225.0	208.0	209.0	255.0	269.0	121.0
71.0	202.0	206.0	205.0	224.0	253.0	252.0	252.0	135.0	120.0
72.0	201.0	208.0	206.0	223.0	252.0	253.0	253.0	136.0	154.0
73.0	200.0	253.0	208.0	222.0	255.0	254.0	208.0	268.0	155.0
74.0	144.0	254.0	253.0	221.0	254.0	255.0	209.0	267.0	153.0
76.0	143.0	257.0	254.0	220.0	264.0	256.0	207.0	137.0	156.0
75.0	146.0	258.0	257.0	219.0	263.0	257.0	206.0	138.0	152.0
77.0	145.0	259.0	258.0	218.0	262.0	258.0	205.0	139.0	119.0
78.0	199.0	262.0	259.0	217.0	261.0	259.0	204.0	149.0	157.0
95.0	198.0	261.0	260.0	215.0	274.0	262.0	203.0	150.0	158.0
96.0	197.0	260.0	261.0	216.0	273.0	261.0	202.0	179.0	159.0
97.0	196.0	276.0	262.0	213.0	272.0	260.0	200.0	180.0	160.0
94.0	195.0	275.0	263.0	214.0	271.0	276.0	201.0	181.0	175.0
93.0	194.0	274.0	264.0	211.0	16.0	275.0	196.0	176.0	174.0
98.0	193.0	273.0	265.0	212.0	17.0	274.0	195.0	177.0	107.0
99.0	192.0	272.0	266.0	207.0	18.0	273.0	194.0	178.0	106.0
100.0	191.0	271.0	140.0	210.0	133.0	272.0	192.0	151.0	173.0
