8533.35-0	8415.09-1	8476.77-2	8311.81-3	8054.66-4	7896.25-5	8094.2-6	7818.35-7	8037.5-8	7566.88-9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3.0	5.0	279.0	9.0	5.0	276.0	280.0	260.0	2.0	6.0
245.0	270.0	255.0	275.0	6.0	5.0	242.0	206.0	242.0	240.0
241.0	268.0	262.0	5.0	252.0	10.0	255.0	204.0	244.0	238.0
258.0	135.0	250.0	3.0	254.0	13.0	247.0	143.0	278.0	233.0
254.0	20.0	248.0	4.0	263.0	15.0	278.0	144.0	6.0	232.0
142.0	25.0	251.0	6.0	270.0	271.0	249.0	146.0	259.0	237.0
143.0	132.0	247.0	278.0	264.0	273.0	256.0	195.0	254.0	218.0
269.0	133.0	239.0	241.0	150.0	275.0	204.0	196.0	258.0	215.0
156.0	134.0	242.0	280.0	180.0	278.0	206.0	214.0	252.0	216.0
152.0	23.0	3.0	2.0	161.0	3.0	146.0	224.0	255.0	219.0
155.0	24.0	254.0	242.0	164.0	2.0	157.0	223.0	257.0	207.0
133.0	16.0	207.0	245.0	188.0	259.0	127.0	227.0	210.0	202.0
132.0	265.0	212.0	260.0	174.0	258.0	125.0	243.0	206.0	200.0
136.0	128.0	213.0	274.0	93.0	263.0	124.0	241.0	226.0	191.0
122.0	15.0	202.0	7.0	120.0	261.0	40.0	244.0	223.0	192.0
60.0	11.0	199.0	15.0	177.0	14.0	36.0	247.0	222.0	195.0
177.0	8.0	198.0	13.0	156.0	17.0	35.0	231.0	221.0	197.0
180.0	274.0	139.0	8.0	127.0	25.0	46.0	213.0	215.0	194.0
150.0	276.0	203.0	11.0	40.0	16.0	45.0	215.0	218.0	201.0
260.0	278.0	204.0	273.0	38.0	7.0	43.0	221.0	219.0	196.0
262.0	2.0	225.0	277.0	48.0	8.0	121.0	222.0	217.0	189.0
208.0	280.0	240.0	261.0	53.0	12.0	122.0	218.0	220.0	186.0
207.0	3.0	245.0	259.0	49.0	11.0	185.0	217.0	225.0	161.0
209.0	261.0	230.0	279.0	55.0	274.0	188.0	139.0	234.0	183.0
203.0	279.0	227.0	243.0	42.0	6.0	189.0	147.0	229.0	181.0
202.0	249.0	226.0	237.0	58.0	279.0	190.0	181.0	227.0	179.0
192.0	248.0	223.0	231.0	67.0	4.0	151.0	174.0	212.0	136.0
194.0	234.0	222.0	252.0	70.0	277.0	152.0	170.0	208.0	144.0
195.0	237.0	196.0	262.0	62.0	270.0	137.0	171.0	265.0	205.0
196.0	240.0	200.0	258.0	31.0	149.0	265.0	164.0	253.0	220.0
217.0	242.0	216.0	256.0	130.0	156.0	262.0	191.0	207.0	223.0
265.0	241.0	220.0	212.0	132.0	153.0	252.0	194.0	261.0	224.0
139.0	239.0	219.0	227.0	18.0	155.0	241.0	189.0	262.0	213.0
149.0	244.0	221.0	233.0	153.0	151.0	238.0	190.0	264.0	211.0
145.0	4.0	224.0	232.0	155.0	182.0	239.0	187.0	214.0	199.0
144.0	243.0	236.0	244.0	178.0	162.0	244.0	159.0	209.0	198.0
201.0	246.0	235.0	246.0	159.0	178.0	234.0	179.0	263.0	188.0
197.0	232.0	233.0	216.0	160.0	267.0	235.0	180.0	260.0	172.0
193.0	238.0	246.0	204.0	182.0	252.0	246.0	19.0	275.0	88.0
188.0	233.0	256.0	134.0	189.0	210.0	248.0	18.0	274.0	85.0
185.0	215.0	218.0	268.0	190.0	207.0	3.0	135.0	13.0	64.0
200.0	219.0	215.0	142.0	187.0	205.0	4.0	272.0	139.0	41.0
198.0	223.0	214.0	141.0	151.0	198.0	5.0	16.0	147.0	60.0
141.0	220.0	205.0	148.0	148.0	190.0	279.0	273.0	179.0	82.0
140.0	222.0	209.0	153.0	149.0	191.0	245.0	259.0	178.0	104.0
137.0	206.0	210.0	44.0	137.0	189.0	257.0	257.0	177.0	173.0
135.0	205.0	234.0	49.0	128.0	186.0	119.0	256.0	152.0	174.0
131.0	204.0	231.0	48.0	122.0	185.0	133.0	277.0	163.0	187.0
