2602.63-0	2696.52-1	2619.99-2	2626.67-3	2642.5-4	2642.39-5	2681.9-6	2655.36-7	2682.82-8	2609.6-9
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
280.0	2.0	2.0	280.0	280.0	2.0	5.0	2.0	5.0	2.0
3.0	280.0	242.0	3.0	3.0	280.0	6.0	242.0	6.0	242.0
279.0	3.0	243.0	279.0	279.0	3.0	7.0	243.0	7.0	243.0
278.0	279.0	244.0	278.0	278.0	279.0	9.0	241.0	8.0	241.0
248.0	4.0	241.0	248.0	248.0	278.0	8.0	240.0	9.0	240.0
249.0	277.0	240.0	249.0	249.0	4.0	10.0	239.0	10.0	239.0
256.0	278.0	239.0	256.0	256.0	277.0	11.0	238.0	11.0	238.0
255.0	248.0	238.0	255.0	257.0	276.0	12.0	237.0	12.0	237.0
252.0	249.0	237.0	252.0	258.0	275.0	15.0	236.0	13.0	236.0
253.0	250.0	236.0	253.0	259.0	274.0	13.0	235.0	15.0	235.0
254.0	247.0	235.0	254.0	260.0	273.0	14.0	234.0	271.0	234.0
257.0	245.0	234.0	257.0	261.0	272.0	24.0	233.0	16.0	233.0
258.0	244.0	233.0	258.0	262.0	271.0	23.0	232.0	14.0	232.0
259.0	243.0	232.0	259.0	263.0	16.0	25.0	231.0	24.0	231.0
260.0	242.0	231.0	260.0	264.0	17.0	22.0	246.0	23.0	246.0
261.0	241.0	246.0	261.0	265.0	18.0	26.0	245.0	25.0	245.0
262.0	240.0	245.0	262.0	266.0	19.0	27.0	244.0	22.0	244.0
263.0	239.0	247.0	263.0	267.0	20.0	28.0	247.0	26.0	247.0
264.0	238.0	250.0	264.0	268.0	21.0	29.0	250.0	27.0	250.0
265.0	237.0	251.0	265.0	269.0	130.0	30.0	251.0	28.0	251.0
266.0	236.0	230.0	266.0	270.0	131.0	31.0	230.0	29.0	230.0
140.0	235.0	229.0	140.0	134.0	132.0	32.0	229.0	30.0	229.0
141.0	234.0	228.0	141.0	135.0	133.0	33.0	228.0	31.0	228.0
148.0	233.0	227.0	142.0	136.0	134.0	34.0	227.0	32.0	227.0
149.0	232.0	226.0	143.0	137.0	270.0	35.0	226.0	33.0	226.0
139.0	231.0	225.0	144.0	138.0	269.0	36.0	225.0	34.0	225.0
138.0	246.0	224.0	200.0	139.0	135.0	37.0	224.0	35.0	224.0
137.0	251.0	223.0	199.0	140.0	136.0	38.0	223.0	36.0	223.0
267.0	230.0	222.0	145.0	141.0	268.0	39.0	222.0	37.0	222.0
268.0	229.0	221.0	146.0	142.0	267.0	40.0	221.0	38.0	221.0
136.0	228.0	220.0	147.0	143.0	137.0	41.0	220.0	39.0	220.0
135.0	227.0	219.0	148.0	144.0	138.0	42.0	219.0	40.0	219.0
269.0	226.0	218.0	149.0	145.0	139.0	43.0	218.0	41.0	218.0
270.0	225.0	217.0	139.0	146.0	140.0	60.0	217.0	42.0	217.0
134.0	224.0	216.0	138.0	147.0	266.0	59.0	216.0	43.0	216.0
133.0	223.0	215.0	137.0	148.0	265.0	44.0	215.0	60.0	215.0
132.0	219.0	214.0	267.0	149.0	264.0	45.0	213.0	61.0	214.0
131.0	222.0	213.0	268.0	150.0	263.0	46.0	214.0	118.0	213.0
130.0	221.0	212.0	136.0	178.0	262.0	47.0	211.0	117.0	212.0
21.0	220.0	211.0	135.0	151.0	261.0	48.0	212.0	115.0	211.0
20.0	217.0	210.0	269.0	177.0	260.0	49.0	207.0	116.0	210.0
19.0	218.0	209.0	270.0	176.0	259.0	50.0	210.0	86.0	209.0
18.0	215.0	252.0	134.0	179.0	258.0	51.0	209.0	85.0	208.0
17.0	216.0	253.0	133.0	180.0	257.0	52.0	208.0	66.0	207.0
16.0	213.0	208.0	132.0	181.0	256.0	53.0	206.0	65.0	206.0
