429-10	430-10	432-10	433-10	435-10
1.0	1.0	1.0	1.0	1.0
22.0	32.0	22.0	22.0	32.0
8.0	11.0	2.0	2.0	46.0
26.0	2.0	20.0	29.0	51.0
31.0	16.0	35.0	20.0	27.0
28.0	50.0	36.0	35.0	6.0
3.0	9.0	3.0	36.0	48.0
36.0	49.0	28.0	3.0	23.0
35.0	38.0	31.0	28.0	7.0
20.0	5.0	26.0	31.0	43.0
29.0	37.0	8.0	26.0	24.0
2.0	17.0	48.0	8.0	14.0
16.0	4.0	23.0	48.0	25.0
50.0	18.0	7.0	6.0	13.0
21.0	47.0	43.0	23.0	41.0
34.0	12.0	24.0	7.0	40.0
30.0	46.0	6.0	43.0	19.0
9.0	51.0	27.0	24.0	42.0
49.0	27.0	51.0	14.0	44.0
10.0	6.0	46.0	25.0	45.0
39.0	48.0	12.0	13.0	33.0
33.0	23.0	47.0	41.0	15.0
45.0	7.0	4.0	40.0	37.0
15.0	43.0	18.0	19.0	17.0
44.0	24.0	14.0	42.0	4.0
42.0	14.0	25.0	44.0	18.0
19.0	25.0	13.0	15.0	47.0
40.0	13.0	41.0	45.0	12.0
41.0	41.0	40.0	33.0	5.0
13.0	40.0	19.0	39.0	38.0
25.0	19.0	42.0	10.0	11.0
14.0	42.0	44.0	49.0	2.0
24.0	44.0	17.0	9.0	16.0
43.0	15.0	37.0	30.0	50.0
7.0	45.0	15.0	34.0	9.0
23.0	33.0	45.0	21.0	49.0
48.0	39.0	33.0	50.0	10.0
6.0	10.0	39.0	16.0	39.0
27.0	30.0	10.0	11.0	30.0
51.0	34.0	30.0	38.0	34.0
46.0	21.0	34.0	5.0	21.0
12.0	29.0	21.0	37.0	29.0
47.0	20.0	29.0	17.0	20.0
18.0	35.0	16.0	4.0	35.0
4.0	36.0	50.0	18.0	36.0
17.0	3.0	9.0	47.0	3.0
37.0	28.0	49.0	12.0	28.0
5.0	31.0	5.0	46.0	31.0
38.0	26.0	38.0	51.0	26.0
11.0	8.0	11.0	27.0	8.0
32.0	22.0	32.0	32.0	22.0
1.0	1.0	1.0	1.0	1.0
