428.98-0	432.1-1	428.87-2	434.83-3	439.53-4	429.48-5	431.95-6	435.99-7	428.87-8	428.98-9	428.87-10	428.87-11	428.87-12	428.98-13	435.91-14	428.87-15	428.98-16	431.95-17	435.16-18	428.87-19
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
32.0	32.0	22.0	22.0	32.0	22.0	32.0	22.0	22.0	22.0	22.0	22.0	22.0	32.0	32.0	22.0	22.0	32.0	32.0	22.0
11.0	11.0	8.0	2.0	11.0	2.0	11.0	8.0	8.0	2.0	8.0	8.0	8.0	11.0	11.0	8.0	2.0	11.0	46.0	8.0
38.0	38.0	26.0	16.0	46.0	16.0	46.0	48.0	26.0	16.0	26.0	26.0	26.0	38.0	38.0	26.0	16.0	46.0	51.0	26.0
5.0	5.0	31.0	50.0	51.0	50.0	51.0	23.0	31.0	50.0	31.0	31.0	31.0	5.0	5.0	31.0	50.0	51.0	27.0	31.0
49.0	49.0	28.0	9.0	27.0	9.0	12.0	24.0	28.0	9.0	28.0	28.0	28.0	49.0	49.0	28.0	9.0	12.0	6.0	28.0
10.0	10.0	3.0	30.0	6.0	30.0	47.0	43.0	3.0	30.0	3.0	3.0	3.0	10.0	10.0	3.0	30.0	47.0	48.0	3.0
39.0	39.0	36.0	34.0	48.0	34.0	18.0	7.0	36.0	34.0	36.0	36.0	36.0	39.0	39.0	36.0	34.0	18.0	23.0	36.0
33.0	33.0	35.0	21.0	8.0	21.0	4.0	26.0	35.0	21.0	35.0	35.0	35.0	33.0	33.0	35.0	21.0	4.0	7.0	35.0
45.0	45.0	20.0	29.0	26.0	29.0	17.0	31.0	20.0	29.0	20.0	20.0	20.0	45.0	45.0	20.0	29.0	17.0	43.0	20.0
15.0	15.0	29.0	20.0	7.0	20.0	37.0	28.0	29.0	20.0	29.0	29.0	29.0	15.0	15.0	29.0	20.0	37.0	24.0	29.0
37.0	37.0	2.0	35.0	23.0	35.0	5.0	3.0	2.0	35.0	2.0	2.0	2.0	37.0	37.0	2.0	35.0	5.0	14.0	2.0
17.0	17.0	16.0	36.0	43.0	36.0	38.0	36.0	16.0	36.0	16.0	16.0	16.0	17.0	12.0	16.0	36.0	38.0	25.0	16.0
44.0	44.0	50.0	3.0	24.0	3.0	49.0	35.0	50.0	3.0	50.0	50.0	50.0	44.0	47.0	50.0	3.0	49.0	13.0	50.0
42.0	42.0	21.0	28.0	14.0	28.0	10.0	20.0	21.0	28.0	21.0	21.0	21.0	42.0	18.0	21.0	28.0	10.0	41.0	21.0
19.0	19.0	34.0	31.0	25.0	31.0	39.0	29.0	34.0	31.0	34.0	34.0	34.0	19.0	4.0	34.0	31.0	39.0	40.0	34.0
40.0	40.0	30.0	26.0	13.0	26.0	33.0	2.0	30.0	8.0	30.0	30.0	30.0	40.0	17.0	30.0	8.0	33.0	19.0	30.0
41.0	41.0	9.0	8.0	41.0	8.0	45.0	16.0	9.0	26.0	9.0	9.0	9.0	41.0	44.0	9.0	26.0	45.0	42.0	9.0
13.0	13.0	49.0	48.0	40.0	48.0	15.0	50.0	49.0	7.0	49.0	49.0	49.0	13.0	42.0	49.0	7.0	15.0	44.0	49.0
25.0	25.0	10.0	6.0	19.0	23.0	44.0	21.0	10.0	43.0	10.0	10.0	10.0	25.0	19.0	10.0	43.0	44.0	45.0	10.0
14.0	14.0	39.0	23.0	42.0	7.0	42.0	34.0	39.0	24.0	39.0	39.0	39.0	14.0	40.0	39.0	24.0	42.0	33.0	39.0
18.0	24.0	33.0	7.0	44.0	43.0	19.0	30.0	33.0	23.0	33.0	33.0	33.0	18.0	41.0	33.0	23.0	19.0	15.0	33.0
4.0	43.0	45.0	43.0	45.0	24.0	40.0	9.0	45.0	48.0	45.0	45.0	45.0	4.0	13.0	45.0	48.0	40.0	37.0	45.0
47.0	7.0	15.0	24.0	33.0	6.0	41.0	49.0	15.0	6.0	15.0	15.0	15.0	47.0	25.0	15.0	6.0	41.0	17.0	15.0
12.0	23.0	44.0	14.0	15.0	27.0	13.0	10.0	44.0	27.0	44.0	44.0	44.0	12.0	14.0	44.0	27.0	13.0	4.0	44.0
46.0	6.0	42.0	25.0	37.0	51.0	25.0	39.0	42.0	51.0	42.0	42.0	42.0	46.0	24.0	42.0	51.0	25.0	18.0	42.0
51.0	18.0	19.0	13.0	17.0	46.0	14.0	33.0	19.0	46.0	19.0	19.0	19.0	51.0	43.0	19.0	46.0	14.0	47.0	19.0
27.0	4.0	40.0	41.0	4.0	12.0	24.0	45.0	40.0	12.0	40.0	40.0	40.0	27.0	7.0	40.0	12.0	24.0	12.0	40.0
6.0	47.0	41.0	40.0	18.0	47.0	43.0	15.0	41.0	47.0	41.0	41.0	41.0	6.0	23.0	41.0	47.0	43.0	5.0	41.0
48.0	12.0	13.0	19.0	47.0	4.0	7.0	44.0	13.0	4.0	13.0	13.0	13.0	48.0	6.0	13.0	4.0	7.0	38.0	13.0
23.0	46.0	25.0	42.0	12.0	18.0	23.0	42.0	25.0	18.0	25.0	25.0	25.0	23.0	51.0	25.0	18.0	23.0	11.0	25.0
24.0	51.0	14.0	44.0	5.0	14.0	6.0	19.0	14.0	14.0	14.0	14.0	14.0	24.0	46.0	14.0	14.0	6.0	2.0	14.0
43.0	27.0	24.0	17.0	38.0	25.0	27.0	40.0	24.0	25.0	24.0	24.0	24.0	43.0	27.0	24.0	25.0	27.0	16.0	24.0
7.0	48.0	43.0	4.0	9.0	13.0	48.0	41.0	43.0	13.0	43.0	43.0	43.0	7.0	48.0	43.0	13.0	48.0	50.0	43.0
26.0	8.0	7.0	18.0	49.0	41.0	8.0	13.0	7.0	41.0	7.0	7.0	7.0	26.0	8.0	7.0	41.0	8.0	9.0	7.0
8.0	26.0	23.0	47.0	10.0	40.0	26.0	25.0	23.0	40.0	23.0	23.0	23.0	8.0	26.0	23.0	40.0	26.0	49.0	23.0
31.0	31.0	48.0	12.0	39.0	19.0	31.0	14.0	48.0	19.0	48.0	48.0	48.0	31.0	31.0	48.0	19.0	31.0	10.0	48.0
28.0	28.0	6.0	37.0	30.0	42.0	28.0	6.0	6.0	42.0	6.0	6.0	6.0	28.0	28.0	6.0	42.0	28.0	39.0	6.0
3.0	3.0	27.0	15.0	34.0	44.0	3.0	27.0	27.0	44.0	27.0	27.0	27.0	3.0	3.0	27.0	44.0	3.0	30.0	27.0
36.0	36.0	51.0	45.0	21.0	17.0	36.0	51.0	51.0	17.0	51.0	51.0	51.0	36.0	36.0	51.0	17.0	36.0	34.0	51.0
35.0	35.0	46.0	33.0	50.0	37.0	35.0	46.0	46.0	37.0	46.0	46.0	46.0	35.0	35.0	46.0	37.0	35.0	21.0	46.0
20.0	20.0	12.0	39.0	16.0	15.0	20.0	12.0	12.0	15.0	12.0	12.0	12.0	20.0	20.0	12.0	15.0	20.0	29.0	12.0
29.0	29.0	47.0	10.0	2.0	45.0	29.0	47.0	47.0	45.0	47.0	47.0	47.0	29.0	29.0	47.0	45.0	29.0	20.0	47.0
